Brand,Type,Gender,Size,Number_Sold,Price(USD),review_title,review_text,review_rating
Nike,Basketball,Men,US 11,135,90,Update: Comfy if you can get them on.,I read a review before buying these where the guy noted that he had difficulty getting his heal down into the boot and as a result the fabric at he bottom of the shaft and the top of the heal cup tore.  Dan Post apparently fixed that problem buy adding a leather reenforcement. When I first put them on the left one went on fine but with the right one I had a good deal of difficulty getting my heal past the leather patch and into the heal cup.  It has gotten progressively worse until now I can not get the right one on no matter how hard I try.  Perhaps a boot horn would help but...anyway great boots if you can get them on. Very comfortable.  Not sure what to do at this point...So I contacted amazon and I am returning the original pair.  They sent out a new pair. This is an entirely different boot.  They are at least 1/2 too small.  MUCH narrower especially when viewed form the bottom. The sole is 1/2 narrower.  The Dan Post Tag is a different color (green and yellow as opposed to the black and gold of the original).  The heal seems higher.  Leather is inferior. Weird.  I called Dan Post and they said they are always making design changes.  Looks like I'm just going to get my money back.  Too bad.,2
Adidas,Fashion,Men,US 9,240,220,"If You're Considering These Boots, BUY THEM!","I've owned over 10 pairs of Dan Post boots. Yes, I'm a big fan of them. I enjoy wearing Western-styled clothes and boots. I'm also a truck driver, and a biker. These boots fit the bill for all of these. Right out of the box, they look great, and are very comfortable. I wear a 12D. I ordered a 12D, and the fit is spot on. No problems at the heel, arch, or toe. They're listed as Waterproof. Haven't put that to the test yet. They're not as heavy as I thought they'd be. Very nice boot, easy to get used to, and looks great. I gave them a good treatment of Leather Honey, to condition the leather, and give them some extra protection. All in all, a great boot. I have no issues with them. They're Dan Post boots---great boots, great quality, and great looks. As I titled this review, if you're considering these boots, buy them. A great all around boot. Lastly, I've read reviews, mentioning that they're made in China. Yes, unfortunately, mine say it, too. Really sad.",5
Reebok,Training,Men,US 10,455,130,Best Pair Of Boots I've Ever Owned - Seam plastic piping is the weak point,"I've owned these boots for two years and have worn them nearly every day.  From mud to motorcycles in the snow and rain, these boots have done all I've asked and more.  In fact they're still going and I can't stand not wear them because they're incredibly comfortable and just get better looking the more beat up they get.  I like them so much that I just bought a new pair to replace them only because the side seams and piping are starting to blow out and the sole of the heal is ready to hit leather.  I would have them resoled if it were not for the seam coming apart.I've given them 4 stars only because of the seam and piping but the fact that I bought another identical pair tells you that 4 stars is a great rating for me.The only time I don't wear these boots is when I'm working-out or I'm hiking.  Otherwise I wear them everywhere from business travel to working in the field.Pros:The fit is dead on at 9DComfort is excellentWaterproofing is excellentDurability is excellentLooks are excellentCon: The plastic piping and seams come apart before the rest of the boot is worn out. That's the only weak point and I think it's the piping that causes the failure.",4
Converse,Casual,Women,US 7.5,"72,611",65,Muy bonitos,Muy bonitos. Le gustaron mucho a mi hija. Vienen mÃ¡s grandes pero siempre compro una talla menos en esta marca. Los recomiendo,5
Puma,Basketball,Men,US 10.5,84,130,Trashed Box,The shoes themselves are super cute but the box came trashed! I wouldn't say it was beat up during transit either. I was disappointed because they are a gift.,3
Vans,Skate,Women,US 9,"1,795",70,Need to wear socks or will stink,Cute shoes but started to stink with her not wearing socks after only a few wears. Very disappointed.,4
New Balance,Trail,Men,US 9.5,309,135,"sehr schÃ¶ner Schuh,","leider viel zu groÃŸ, ging zurÃ¼ck, kulante RÃ¼ckname, gute Abwicklung",4
Asics,Running,Women,US 8,"2,144",120,Super leicht und bequem.,Ich trage Rolling Soft Schuhe von Gabor gerne und bin bis jetzt noch nie enttÃ¤uscht worden.,5
Fila,Fashion,Men,US 11,12,65,"Schnelle Lieferung, tolle Ware",Schuhe passen wie erwartet ðŸ‘,5
Skechers,Walking,Women,US 6.5,421,65,SchÃ¶ne Schuhe,Passen perfekt,5
Nike,Running,Men,US 12,7,120,la coincidencia del objeto real y el anunciado,Me ha gustado la rapidez de la entrega.,5
Adidas,Casual,Women,US 8.5,245,130,Love these shoes!,They look great on her feet. Really nice shoe. And has withstood the whole summer without looking so beat up. Lol,5
Reebok,Running,Men,US 9,60,100,Super cute but the zipper is awful,"These shoes fit my daughter as hoped, and they are SUPER cute. However, the zippers on the back are unbelievably hard to zip and unzip. I would much rather have bought her shoes that she can put on and take off without needing assistance.",3
Converse,Casual,Men,US 12,173,85,So cute and good quality!,"These sandals are adorable!! They fit just as expected. Probably not the best shoe for wider feet though as theyâ€™re pretty skinny, but work just fine for my step daughter. The back is a little hard to zip up and down but Iâ€™m sure itâ€™ll be easier in time. Definitely would buy again.",5
Puma,Running,Women,US 9,112,90,Very sweet shoes!,"I bought these for my 4 year old. She absolutely loves them. She wears them every chance she gets and they dont show a lot of ""wear and tear."" They look great with shorts or a skirt/dress.",5
Vans,Skate,Men,US 8.5,"1,490",50,Adorable,So fashionable. Well crafted.,5
New Balance,Running,Women,US 7.5,"6,159",130,Wide and zipper jams,My goodness do we struggle to zip these things up!They are much wider than anticipated.Meh,3
Asics,Running,Men,US 11,"7,712",120,"Attractive shoes, great value for the money",Cutest shoes ever! Exactly as described but cuter in person. They fit according to size!,5
Fila,Fashion,Women,US 7,"4,583",65,Worth ir,"Came in a box from Kmart which was really nice, super cute, and well packaged. Has not tried them on yet but will love them!",5
Skechers,Running,Men,US 8,706,60,Great purchase,Lovely slipper..I accidentally ordered wrong size..I'm too far to return.,4
Nike,Basketball,Men,US 11,146,90,Great buy,Great buy,5
Adidas,Running,Women,US 8.5,"1,060",140,Super happy with my purchase,"These shoes were packaged like they cost $100. Cans in a lovely reusable bag, a bracelet and a thank you card. Very nice. Highly recommended.",5
Reebok,Trail,Men,US 9.5,"2,076",110,I won't be ordering these again.,"Thought I would love these. I didn't open them right away, so I did a few days ago only to find that they fit about half a size big, and they feel like they're a wide width. Then I notice that the eyelets on the left shoe don't line up so when I tied it up it made it feel weird. I don't usually complain but the price of these was too much for what I received.",3
Converse,Casual,Women,US 7,382,65,Love them! Really comfortable!,Excuse my fat ankles in the pictureðŸ˜ðŸ˜¬ But these are so very comfortable! And they are very lightweight too...not real heavy like some shoes are. I've been looking pretty much everywhere for a comfortable pair of shoes to do some walking in and these are just right. They're also easy to slip on without having to use your fingers to help with getting them on. I love them and may get another pair in a different color! ðŸŽ¨,5
Puma,Running,Men,US 10,216,90,True to size,The shoe is stylish and comfortable. Please do not listen to previous review on sizing up.  I did and regret it. I wear size 8 ordered 8 1/2 and now a little too big.  Order your right size and you will be happy with this product.,4
Vans,Skate,Women,US 6.5,"38,839",70,Walking shoes,The shoe is a bit narrower than I expected. They have good heel comfort but no arch support.,4
New Balance,Running,Women,US 7,392,110,Alots of complement,Love it comfortable and light weight buy them for work,5
Asics,Running,Men,US 8,843,85,"Fit great, feet feel good with nice arch support.",They look great and feel good!,5
Fila,Fashion,Women,US 7.5,"4,992",65,Comodida,Muy cÃ³modos y los nÃºmeros son exactos,5
Skechers,Running,Men,US 11,240,85,Comfortable,Comfortable. Size was correct,4
Nike,Running,Men,US 12,277,150,Se ven bien,Muy cÃ³modo me gustan,5
Adidas,Casual,Women,US 9.5,350,85,Scarpe di tendenza dal design accattivante,"Ho acquistato queste scarpe perchÃ© catturato dal design moderno e accattivante.I materiali costruttivi sembrano abbastanza buoni, il mix tra pelle e tessuto stile camouflage sulla parte posteriore rende particolare la scarpa.Sono provviste di una zip laterale che permette di indossarle facilmente, la vestibilitÃ  Ã¨ conforme alla solita taglia che indosso per altri modelli di scarpe e sono comode da calzare.",5
Reebok,Training,Men,US 10,682,130,Top! Erwartungen erfÃ¼llt!,"Sieht gut aus, hÃ¤lt ohne Innenfutter auch warm genug und passt sehr gut.Material auch wie beschrieben.WÃ¼rde fast behaupten er wÃ¤re eine Nummer zu groÃŸ bzw. passt meine normale GrÃ¶ÃŸe sehr bequem. Bei Sneakern nehme ich sonst immer eine Nr. grÃ¶ÃŸer, hier aber nicht erforderlich.",5
Converse,Casual,Men,US 9.5,"3,532",80,Sehr moderne Schuhe,Verarbeitung und QualitÃ¤t top. Modern und passen genau.,5
Puma,Lifestyle,Women,US 8.5,"1,072",110,Bonitos pero se depegaron a los pocos meses de uso,Bonitos y cÃ³modos porque estÃ¡n anchos pero se despegaron muy pronto. TenÃ­a mejores expectativas de esta marca y en esta ocasiÃ³n no duraron.,2
Vans,Casual,Men,US 10.5,658,50,Desechables,"Bonito a la vista, pero de muy mala calidad, se despegaron al mes de uso, ambos tenis de toda la parte delantera, parecÃ­a una buena oferta, pero salÃ­ perdiendo",1
New Balance,Running,Men,US 12,112,165,Buen regalo.,Fue un regalo para una prima muy bonito a la vista por los colores esos colores morados le gustaron mucho y son comodos  me comenta.,3
Asics,Running,Women,US 6.5,812,90,Verificar la lista de tallas,Muy bonitos lastima que llegaron sÃºper grandes en realidad no son 23 cm,4
Fila,Casual,Men,US 11,317,65,MÃ¡s bonitos que en la fotografÃ­a,"EstÃ¡n precioosos, aunque son tenis idealmente para niÃ±os, se los regale a mi hermana de 34 aÃ±os y le quedaron a la perfecciÃ³n.  Estoy muy contento con la compra.",5
Skechers,Walking,Women,US 8.5,307,60,excelente,"me gustan los tens para mi hij, gracias",5
Nike,Casual,Men,US 8.5,"3,448",100,Excelentes,Bonitos. De muy buena calidad.,5
Nike,Casual,Men,US 9.5,"5,690",90,Ganga,Hermosos en verdad,5
Adidas,Lifestyle,Women,US 7,"1,685",140,Hermosos,Bien. NÃºmero exacto,5
Reebok,Crossfit,Men,US 10,"18,747",130,Excelente producto,Me gustÃ³ bien sellado original,5
Converse,Casual,Women,US 8.5,998,85,Wrong size sent,"They sent the wrong size, product description was misleading",1
Puma,Running,Men,US 8.5,165,130,ðŸ‘,"Buenos, un poco pequeÃ±os",5
Vans,Skate,Men,US 9.5,83,70,Shipper followed up.,Like the shoes...received within 2 days...,5
New Balance,Casual,Women,US 7,206,80,Uncomfortable and stiff fitting shoe,"I have worn New Balance shoes for 10+ years now.  I started with New Balance WX1011 and WX1012 Cross trainers for tennis based on recommendation from my local New Balance specialty shop.  WX 1011 and 1012 were light weight mesh, flexible with good lateral support and soles that were not too stiff.  As a replacement shoe, New Balance recommended this 966v3 shoe. This is one of the most uncomfortable shoes I have tried on.  It is stiff, it presses across the toes and causes pain and the soles are too thick and stiff for quick movement on the tennis court.",1
Asics,Running,Men,US 11,954,120,Good overall fit,"Comfortable fit except for the area at the top lace hole. It is very stiff and rests on the inner ankle bone which causes rubbing and discomfort. Tried tieing at a lower hole but still rubs. Once I figure out how to alleviate this problem I will be happy. Hope in time, it will loosen up.",3
Fila,Fashion,Women,US 8,860,65,Small shoes that pinch in the forefoot,"As mentioned by others, these shoes not only run small but they pinch in the forefoot. Also, the ""fit and finish"" of these shoes is highly disappointing -  the way the tongue is sewn into the shoe leaves a lot to be desired and the extra fabric inside the shoe rubs your feet. Finally, the plastic edge where the lace holes sit is extremely rigid and this same plastic edge also affects the front of your foot when tied.Am definitely returning and looking for a better solution.",2
Skechers,Running,Women,US 7.5,102,90,Not Good,"These are very uncomfortable sneakers.  I bought them a while  ago and thought they just needed more time to break in.  Months later, still feel stiff, heavy, and has some plastic pieces that dig in some spots.  Will have to get rid of these.",1
Nike,Running,Men,US 10,116,130,Sizing,I loved the colors but sizing runs small. I wear a size 11 normally and was trying to find a wider pair of shoes. These are very tight on my foot and Iâ€™m hoping they stretch out a bit when worn in.,4
Adidas,Running,Women,US 6.5,198,120,Width not as advertised.,"When I ordered these, the website said 6.5 Medium but at checkout it said 6.5 D. I called Amazon & they said these were 6.5 Medium. They arrived & the box said 6.5 D. Thatâ€™s too wide for me so I returned them. I have other New Balance tennis shoes that are 6.5B. Iâ€™m grateful shipping & return were free. Nice looking shoe.",1
Reebok,Running,Men,US 9,49,120,Very hard fit,Still battle with fit. Also the black is glittering which looks strange. NO arch support,1
Converse,Casual,Women,US 8.5,557,110,Not original Product. How people giving positive rating? might be kind of cheating.,"it is not original product, Replica of New Balance shoe..I really wonder and so very about India, why this much cheating and corruption happening India.I can see some places of shoe no stitches. Some place of shoe not sticked with glue very very very pooor product.",1
Puma,Casual,Men,US 11,63,80,Shoe quality not upto mark,"New balance is a recognized brand for sports shoes, this particular shoe is branded as running shoes. I had purchased this shoe in 18 Dec 2020 & I am not able to use it anymore, due to the damage to the heel area. Within 2 months of use the area near my toe got damaged & I had to get leather patch glued to it (from inside) to prevent further damage (clearly visible on both shoes).Within 4 months heel support area got worn out (refer picture) causing pain in heel.For the price, this shoe should have lasted 2 years, but it did not last 4 months.I run / walk average of 5 to 8 km daily, normally my shoes last over 5 years, but I was expecting this shoe to last at least 2 years.",1
Vans,Skate,Women,US 7,2,55,Do not buy this,The got this shoe for just 1100 however the quality was not very good and fitting was also very tight. The inside sole and upper of shoe doesn't feel to be of high quality and looks like it won't last longer than 3-4 months. After seeing the shoe i returned it and would not recommend you to buy this particular shoe from New Balance.,3
New Balance,Running,Men,US 10.5,"2,242",175,U Get What U Pay For,"You get what u pay for. Decent for the price. Very basic shoe. If you want a neutral shoe which u can use for commute as sneaker and use it for ocassional short distance run then it might suit u. Cushioning is provided by fresh foam which is decent but not as plush. Not much of a tech goes into it. Like it doesn't have hard plate in mid sole which keeps ur midfoot stable or say solid heel lock is missing. No extra layers of protection, in terms of cushioning in the sole. Laces are just basic. Build quality is ok but not great. Not suitable for broad feet. Decent but I think Asics Gel Nimbus and Mizuno Waverider are miles ahead of it in terms of neutral road running shoe. Waverider 19 is still the most value for money product here in India. Gel Nimbus are bit expensive. If u still wanna stuck with NB better look for Fresh Foam 1080 V or 880 V.",2
Asics,Running,Women,US 9,240,160,the best of New Balance!,"Fitting is perfect (i have ordered one size up). Light weight but the sole and quality of the product is good. Thanks amazon for the surprising offer, i am glad that i got this pair at a comparatively low price for this quality product.best for walking and running, it looks very stylish, we can use them as the casual wear too. After all it is NB it would fit for any duty..",5
Fila,Fashion,Men,US 9,"16,662",70,Worth buying..At this prize,Initially..I was fooled by description that product need to be bought one size larger...But eventually 9 UK is 9.5 US so..Buy ur own size..Ran 5 km with it on first day..Comfortable..1000 skipping in one go..Comfortable..Only one test left..HOW LONG IT LAST..??Good product.,5
Skechers,Walking,Women,US 8,135,65,muy bien,"estan hermosos y la gamusa es muy suave y se ven increibles, muy muy comodos y color y precio excelente. lo malo es que con el paso del tiempo se ensucian mucho, hay que tener cuidado con este tipo de tenis",5
Nike,Running,Men,US 9,240,150,En ninguna parte de la informaciÃ³n/descripciÃ³n aclaran que es TAMAÃ‘O WIDE,Vender un zapato tamaÃ±o wide sin aclararlo me parece un engaÃ±o. Era para deshacerse de sus saldos? MÃ­nimo ofrezcan un precio acorde en todo caso.El tenis serÃ­a excelente si su tamaÃ±o fuese normal.,1
Nike,Casual,Men,US 9.5,455,90,Is this really 4E??,"Got these in 12, 4E as I have large feet. Usually, new balance fits me properly in 6E, but I thought I would give these a try to see. Man, these are made SMALL. Another pair of New Balance which I bought at the same time fit decently, these would not even get on my foot.",3
Adidas,Lifestyle,Women,US 7.5,"72,611",130,Ligeros y comodos,"Padrisimos y muy cÃ³modoPara correr, soy mÃ¡s rÃ¡pidoCon estos tenis, los siento muy ligeros y en carreras de 5 a 10 km me funcionan muy bien",5
Reebok,Running,Men,US 11,84,120,Sieht besser in echt aus als auf dem Bild,"Sehr schÃ¶ner brauner Sneaker. Passt sehr gut und sieht nicht zu groÃŸ aus. Kann den Schuh nur weiter empfehlen, sieht sogar in echt besser aus die Farbe als auf jedem Foto. WÃ¼rde ich wieder kaufen. Preis-Leistungs-VerhÃ¤ltnis ist TOP!!!",5
Converse,Casual,Men,US 8.5,"1,795",85,Toller Schuh!,"Ganz schick,weich und bequem. Easy anzuziehen durch den seitlichen ReiÃŸverschluss. Guter Preis.",5
Puma,Running,Women,US 8,309,90,Viene defectuoso,,1
Vans,Skate,Men,US 10,"2,144",70,Duros,"Son unos tenis muy bonitos tuve que compramos de nuevo en una tienda por quÃ© no me llegaron los que yo pedÃ­ y tuve que devolverlos y decidÃ­ buscarlos en una tienda Adidas y al probÃ¡rmelos me di cuanta que estaban muy duros no sentÃ­ al boots como le mencionan que son muy cÃ³modos en verdad pagar mÃ¡s de 2,000 pesos por unos tenis con poco confort no vale la pena solo te venden la vista de unos tenis pero no los recomiendo",3
New Balance,Lifestyle,Women,US 6.5,12,90,Excelente,Muy cÃ³modos. Excelente compra. De lo mejor que he tenido adidasA considerar que siendo de tela se ensucian muy rapido y no es fÃ¡cil limpiarlos,5
Asics,Running,Men,US 10,421,90,Good shoe,"Great solid shoe. Tight around the heel/Achilles initially, but gets better after some wear.",5
Fila,Fashion,Women,US 7.5,7,65,Great shoe,I have a very high arch and the shoes take the pressure and pain away when I play tennis. This is my second pair in two years and I love them,5
Skechers,Walking,Men,US 9,245,65,Too small,They were way too thin on my feet,1
Nike,Running,Women,US 8,60,160,Poorly uneven fit.,"Maybe itâ€™s just this color way but the fit is TERRIBLE. Itâ€™s tight mid-foot because of some band on the top but itâ€™s actually loose in the toe box. When shoes fit this bad, I just can not recommend them for anything. Not for basketball, not for working out, not even for walking. Adidas is a great brand but they made a mistake with these shoes. I can only see them working if you have overly narrow feet and you size down them.",1
Adidas,Casual,Men,US 8.5,173,85,almost zero cushioning- what you see is not what you get,"First, these are good looking shoes, they fit pretty well, and the sole has pretty good grip.  What is extremely disappointing is the cushioning level.  What you see on the side of the shoe is not at all what is actually in the sole cushion.  I was looking forward to the Boost cushioning.  Instead, what you get appears to be less than a 1/4 inch of cushioning.  After playing a few games on a hard court, my knees were extremely sore.  All the cushioning you see around the heel is window dressing.  I would not recommend to anyone who values their joints.",1
Reebok,Crossfit,Women,US 7,112,130,Great Cushioning & My New Favorite!,"These shoes are awesome and are my new favorites. The Adidas ""boost"" on these are the best cushion I've ever felt to date. They feel really good when walking or running because you can feel the energy returned to your feet from the boost cushion. I want these shoes in a couple of different color-ways and the 3/4 or high top versions. I like the various different textiles/textures. The thick collar around the ankle & achilles looks kinda weird, but I'm used to it & like it now. Kudos to the design team, I would love to see how this shoe was made & put together. ðŸ‘ðŸ¾ðŸ‘ðŸ¾ðŸ˜ŽâœŒðŸ¿",4
Converse,Casual,Women,US 9,"1,490",100,Beautiful Sneaker but impossibly narrow.,I have worn a 10 D my whole life. These shoes were so narrow I could not get my feet in them. Unless you have a narrow foot I would advise against them,3
Puma,Lifestyle,Men,US 10,"6,159",120,look elsewhere. Adidas no help,gots no soul...grip too slick on indoor courts after only 4-5 wears.  The cushioning is pretty decent but shoes are worthless due to the slickness.  Adidas support was no help other than to suggest giving to a friend. I'm offering it to my enemies instead.  Going back to Nike.,1
Vans,Skate,Women,US 6.5,"7,712",50,Son muy cÃ³modos,"Son super cÃ³modos y bonitos, no vienen amplios asi que pidan pantalla correcta en mi caso fue 23 y medio, y me quedaron muy bien, los colores son muy bonitos y variados, excelente producto ðŸ‘",5
New Balance,Running,Men,US 9.5,"4,583",100,Excelente,"Llegaron un dÃ­a antes y todo bien, la talla es la habitual, todo muy bien",5
Asics,Running,Women,US 8.5,706,180,Je les adore  je suis super contente !,"Bonne grandeur , bien emballÃ© dans la boÃ®te et super confortables",5
Fila,Fashion,Men,US 9.5,146,60,Justo lo que esperaba,Son perfectos tal y cual color como en la imagen,5
Skechers,Walking,Women,US 7.5,"1,060",60,SÃºper satisfecha,EstÃ¡n sÃºper hermosas  me quedar perfecta ðŸ¤© volverÃ© a comprar otras ðŸ˜Š,5
Nike,Casual,Men,US 9,"2,076",90,"No me llegaron en la fecha estimada, pero al menos me llegaron! Muchas gracias",Me quedaron muy bien Gracias!,5
Adidas,Lifestyle,Women,US 7,382,140,Hermosas zapatillas,Me encanto son bellas y rÃ¡pido el envÃ­o recomiendo 100 por ciento,5
Reebok,Running,Men,US 11,216,120,"Lo hermoso,econÃ³mico y cÃ³modos",Me encantÃ³!!!,5
Converse,Casual,Men,US 8,"38,839",85,Sehr schÃ¶ner und bequemer Schuh,"Sehr schÃ¶ner Schuh in einem schicken altrosa! Passt perfekt, meine Tochter findet ihn super bequem, gibt nichts zu meckern!",5
Puma,Basketball,Men,US 10.5,392,130,Tip top,Im Lockdown sehr schnelle Lieferung.Tochter sehr glÃ¼cklich.,5
Vans,Skate,Women,US 7,843,70,La calidad y los materiales,Tengo varios modelos de Chuck Taylor estÃ¡s son con diferencia las mejores.Se nota la calidad y los materiales en su fabricaciÃ³n.,5
New Balance,Running,Men,US 10,"4,992",175,"Rebajados ,bonitos y algÃºn problemita","El producto presenta algunos pequeÃ±os problemas de acabado parece que son rebajados a 59.95 por esos detalles, es un producto de 89 dÃ³lares, el enviÃ³ llego tarde, la vez pasada comprÃ© unos Converse del mismo modelo pero en amarillo en la misma tienda y la compra fue perfecta el enviÃ³  llego muy rÃ¡pido y los zapatos impecables. Por lo tanto parecen ser rebajados por algÃºn detalle, asÃ­ y todo los converse color burganty son bellos .",3
Asics,Running,Women,US 8,240,150,To big,This was a gift but was to large for the recipient,3
Fila,Casual,Men,US 9,277,60,Satisfied,This was a gift and the recipient loved it,5
Skechers,Running,Men,US 8.5,350,90,EspectÃ¡culo,"Un espectÃ¡culo, de los mejores mandriles, sÃºper recomendados .",5
Nike,Casual,Women,US 7.5,682,100,<3,<3,5
Adidas,Casual,Men,US 10,"3,532",80,Comodissima ma lurex!,"Calzata comodissima, il piede sta comodamente nella scarpa che si calza facilmente. Il plantare Ã¨ comodo quindi va bene anche per chi ha la pianta un poâ€™ larga. Dallâ€™immagine non sembrava evidente che i filetti piÃ¹ chiari sono argento. Ho deciso di tenerla per la comoditÃ  utilizzandola anche con un outfit piÃ¹ serale.",4
Reebok,Casual,Women,US 8,"1,072",65,Edler Freizeitschuh!,"Super Schuhe - sehr edel. Stoff ist mit silbernen Glitzer, kann man auf dem Foto kaum erkennen. Schnelle Lieferung, jederzeit wieder. ðŸ‘ ðŸ‘",5
Converse,Basketball,Men,US 11,658,120,ðŸ˜ƒðŸ˜ƒðŸ˜ƒ,ðŸ˜‰ðŸ˜‰ðŸ˜‰ðŸ˜‰,5
Puma,Running,Women,US 6.5,112,120,Good but hard to get right size,Sizes run a little big so I might suggest going half size smaller than your usual but the shoes are so cute I love them,5
Vans,Skate,Men,US 9.5,812,50,"Great product, daughter love it.",A bit wide but classy look,4
New Balance,Running,Women,US 7.5,317,165,Five Stars,"they are really comfortable, great to run and lift in. a little loose but they fit length wise.",5
Asics,Running,Men,US 9.5,307,120,Bonitos,"Excelente calidad, son muy comodos el unico punto que pudiece decir en contra es la medida es ligeramente mas justa, yo calso del 29 cm y estos tenis son lieramente mas ajustados, pero creo que es el estandar que usa la marca, tengo otros puma de la misma medida(otro modelo) que compre en  liverpool y el mismo detalle observe. Tal vez conviene pedor medio numero mas para personas con los pies mas gorditos.",5
Fila,Casual,Women,US 8.5,"3,448",70,Classic Style & Perfect Fit,Perfectly as expected & resquested. AsÃ©.,5
Skechers,Walking,Men,US 12,"5,690",65,Son originales,Son chingones los zapatos,5
Nike,Running,Women,US 9,"1,685",160,Buena compra,"Me encantaron, llegaron un poco tarde pero llegar, amplios y con suela blandita",5
Nike,Basketball,Men,US 11,"18,747",90,Mala Calidad,Los zapatos de peor calidad que he tenido en mi vida. DespuÃ©s de 2 semanas comienzan a desmoronarse,1
Adidas,Fashion,Women,US 8.5,998,220,La comodidad.,"Llegaron a tiempo, la plantilla es muy cÃ³moda, son bonitos.",5
Reebok,Running,Men,US 12,165,120,Muy bien ðŸ‘,La suela estÃ¡ muy delgada se siente toda las piedras,2
Converse,Casual,Women,US 7,83,85,Buen producto,"Buen producto, y llegÃ³ super rÃ¡pido",5
Puma,Running,Men,US 8.5,206,80,Buen producto,"Excelente producto,llegÃ³ antes de lo previsto y es econÃ³mico.",5
Vans,Skate,Women,US 9,954,70,Muy buen producto,,5
New Balance,Running,Men,US 10.5,860,130,Passt !!!,Super passend-schÃ¶ner Sneaker fÃ¼r Frauen.,5
Asics,Running,Women,US 7,102,80,Hermosos,"Los tenis son preciosos y muy cÃ³modos, son de buen material, la calidad se nota, los pedÃ­ medio nÃºmero mÃ¡s grande de lo que soy, mi medida es de 24 cm y 6 US, asÃ­ que los pedÃ­ de 24.5cm y de 6.5 US, porque leÃ­ en otros comentarios donde mencionaban que venÃ­an algo reducidos, y me quedaron muy bien haciendo esto.",5
Fila,Fashion,Men,US 9.5,116,65,Cool pero compren un numero mayor.,"estÃ¡n geniales, y muy buena calidad pero si tiene algo pequeÃ±a, usable y espero que se estiren un poco con el uso.",5
Skechers,Walking,Women,US 6.5,198,65,Size chart is incorrect,Shoes are really nice however size chart seems to be incorrect so have to return my son is disappointed as these were for back to school,1
Nike,Running,Men,US 9,49,160,Excelentes Tenis,"Los tenis son de una calidad impecable, muy cÃ³modos, el interior es un cojÃ­n muy suave y en apariencia se ven muy bien",5
Adidas,Casual,Women,US 6.5,557,130,Hermosos.,"Simplemete: hermosos. Los materiales, la comodidad, en fin, costo beneficio sobrepasa las espectativas. Sin problema listo para comprar otra variante.",5
Reebok,Casual,Men,US 11,63,80,Muy bonito diseÃ±o estilo retro,Muy bonitos tienen los colores muy vivos en las lÃ­neas tal y como se muestra. Para mi que calzo de 12 US o 30 mx me quedaron un poco ajustados.,4
Converse,Casual,Women,US 7.5,2,65,Muy cÃ³modos,Siempre voy sobre seguro con Puma. El calzado es cÃ³modo y muy bonito,5
Puma,Basketball,Men,US 10,"2,242",130,Pretty decent for its price.,Ordered this and the Rebound. Both ordered 1 size bigger. The Rebound fits but the Backcourt is slightly narrow. Break in requires about a week. Quite comfortable.,5
Vans,Casual,Women,US 8.5,240,50,BuenÃ­simos,"Muy bonitos,  son muuuuyyyy comodos, son geniales.",5
New Balance,Trail Running,Men,US 10,"16,662",135,Son todo lo que esperaba.,"El color en vivo es maravilloso, la comodidad es muy buena. Me quedaron a la medida.",5
Asics,Running,Women,US 9,135,120,"Calidad. Van cosidos, no van pegados","Quedan muy chulos. Son de cuero y tela. Van cosidos a la suela ademÃ¡s de ir pegados, para mÃ¡s refuerzo. Son algo estrechos por la zona de los dedos y empeine, para pies mÃ¡s gorditos no irÃ­an bien. Encantada con la compra",5
Fila,Fashion,Men,US 11,240,65,Bisgaard QualitÃ¤t,"Etwas grÃ¶ÃŸer als erwartet, behalte sie dennoch fÃ¼r demnÃ¤chst. Tolle QualitÃ¤t, wie immer bei Bisgaard.",5
Skechers,Walking,Women,US 7.5,455,60,Lieblingssneaker,"Sehr schÃ¶ne Schuhe in bekannter Bisgaard QualitÃ¤t. Waren sofort der neue Lieblingsschuh beim Kind. Durch den Klettverschluss kÃ¶nnen die kleinen sie auch selbst an- und ausziehen, perfekt.",5
Nike,Running,Women,US 9.5,"72,611",160,Cuir et chaussure de mauvaise qualitÃ©,"Les chaussures sont trÃ¨s chouettes et taillent comme prÃ©vu. Jâ€™avais dÃ©jÃ  achetÃ© cette marque.Par contre je dÃ©plore la mauvaise qualitÃ© du cuir, qui est rÃ¢pÃ© dÃ¨s la premiÃ¨re occasion (et elles ne manquent pas avec notre fils de 6 ans). Les semelles en cuir Ã  lâ€™intÃ©rieur se sont dÃ©collÃ©es au niveau du gros doigt de pied et celui-ci est trÃ¨s marquÃ©.Bref vraiment la qualitÃ© nâ€™est pas au rendez-vous",1
Adidas,Running,Men,US 9,84,180,duraderos,Muy cÃ³modos,5
Reebok,Training,Women,US 8.5,"1,795",130,Absolutely love them!,"Ok, so normally New Balance shoes run a little small. My normal running shoes are Asics Gel Kayano 11.5 4E width. That is my absolute standard when it comes to fit and feel.When I usually purchase New Balance shoes, I get size 12 4E. Even then, its can be slightly short, but tolerable.  With these shoes, I started with the 12 4E. But man do they run long. The width seemed to be pretty accurate though.So I went with the 11.5 4E instead. They fit almost perfectly, except MAYBE a little long in the toes. However, I believe it were a size down, it would be a little too short.These are absolutely awesome on outdoor pickleball courts. I've easily put on about 20 hours of play on them, and they barely have any wear. I HIGHLY recommend and love them so much, I actually have a 2nd pair as backup.",5
